Partlist

Exported from aleph.brd at 8/13/13 12:54 PM

EAGLE Version 6.4.0 Copyright (c) 1988-2013 CadSoft

Assembly variant: 

Part     Value              Package          Library               Position (inch)       Orientation

D6       1N4148W-7          SOD123           diode                 (13.1 2.6)            R90
D7       1N4148W-7          SOD123           diode                 (8.95 1.675)          R270
D8       1N4148W-7          SOD123           diode                 (9.6 1.675)           R270
D9       1N4148W-7          SOD123           diode                 (10.25 1.675)         R270
D10      1N4148W-7          SOD123           diode                 (8.9 1.45)            R0
D11      1N4148W-7          SOD123           diode                 (9.55 1.45)           R0
D12      1N4148W-7          SOD123           diode                 (10.2 1.45)           R0
D13      MBRS360T3          SMC              diode                 (6.325 3.125)         MR90
D14      MBRS360T3          SMC              diode                 (5.875 3.575)         MR180
DSP1     BF533              LQFP176          monome-inc            (3.625 1.725)         R270
E1       BOURNS-EM14        BOURNS-EM14      monome-inc            (13.875 0.625)        MR0
E2       BOURNS-EM14        BOURNS-EM14      monome-inc            (12.475 0.62500394)   MR0
E3       BOURNS-EM14        BOURNS-EM14      monome-inc            (11.775 1.825)        MR0
E4       BOURNS-EM14        BOURNS-EM14      monome-inc            (13.17500394 1.82500394) MR0
GND      TPS-SMD-20R        SMD-20R          testpoint             (4.475 2.5)           R0
H1       MOUNT440           120-PAD-NS       monome-inc            (0.125 4.15)          R0
H2       MOUNT440           120-PAD-NS       monome-inc            (3.85 4.15)           R0
H3       MOUNT440           120-PAD-NS       monome-inc            (6.725 4.15)          R0
H4       MOUNT440           120-PAD-NS       monome-inc            (7.925 4.15)          R0
H5       MOUNT440           120-PAD-NS       monome-inc            (11.65 4.15)          R0
H6       MOUNT440           120-PAD-NS       monome-inc            (14.525 4.15)         R0
H7       MOUNT440           120-PAD-NS       monome-inc            (11.225 3.025)        R0
H8       MOUNT440           120-PAD-NS       monome-inc            (13.525 3.025)        R0
H9       MOUNT440           120-PAD-NS       monome-inc            (7.925 2.575)         R0
H10      MOUNT440           120-PAD-NS       monome-inc            (0.125 0.125)         R0
H11      MOUNT440           120-PAD-NS       monome-inc            (3.85 0.125)          R0
